"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","Array mode and full results support","","","skipped","","","e59 - Native Feature Port — SQL-over-HTTP, Better Auth, MCP Migration Tools","e59s01 - @bigbase/sql — HTTP SQL transport with tagged template literals",""
"","","Structured JSON logging via slog","","","passed","","","e14 - Monitoring — Metrics, Logs, Alerts, Health","e14s01 - Health endpoint, structured logs, metrics dashboard",""
"","","UI: branch selector and management page","","","skipped","","","e59 - Native Feature Port — SQL-over-HTTP, Better Auth, MCP Migration Tools","e59s02 - Database branching — CREATE DATABASE WITH TEMPLATE per project",""
"","","POST /api/sites/:id/domains with DNS TXT verification and TLS","","","passed","","","e20 - Platform Operations","e20s04 - Custom domains for Sites",""
"","","POST /api/auth/refresh with rotation and replay prevention","","","passed","","","e19 - Security Hardening","e19s04 - Refresh token rotation",""
"","","Apply CSP headers to proxied responses for deployment sites","","","skipped","","","e61 - Proxy — Configurable CSP Headers","e61s01 - CSP header generation with per-site configuration",""
"","","/api/sql endpoint for raw queries","","","passed","","","e03 - DB + Auto API","e03s01 - SQLite-backed auto CRUD collections API",""
"","","Add Organization struct + DB operations (CreateOrg, GetOrg, ListOrgs, UpdateOrg, DeleteOrg) with slug uniqueness and owner validation","","","passed","","","e23 - Multi-Tenancy and Organizations","e23s01 - Organization CRUD",""
"","","Add orgs table migration in auth.Start() — CREATE TABLE IF NOT EXISTS orgs (id, name, slug UNIQUE, owner_id, created_at, updated_at); add default_org_id column to users; auto-create personal org on register","","","passed","","","e23 - Multi-Tenancy and Organizations","e23s01 - Organization CRUD",""
"","","Test: proxy routing atomic host replacement during drain","","","passed","","","e45 - Deploy — Zero-Downtime Drain","e45s02 - Proxy integration — smooth traffic migration",""
"","","Refactor packages/auth-astro/ to match @danielvm/neon-astro-auth pattern","","","skipped","","","e59 - Native Feature Port — SQL-over-HTTP, Better Auth, MCP Migration Tools","e59s05 - Astro SDK refactor — middleware, route handler, client pattern",""
"","","ws:// endpoint subscribes to collection mutations","","","passed","","","e11 - Realtime — WebSocket & Event Broadcast","e11s01 - WebSocket subscriptions with mutation event broadcasting",""
"","","Users table — add project_id foreign key and unique constraint on (project_id, email)","","","skipped","","","e57 - Architecture — Project Scoping (DB + Auth + Sites container)","e57s03 - Auth namespacing — project-scoped users, JWT keys, and sessions",""
"","","CSP Report-URI / Report-To integration","","","skipped","","","e61 - Proxy — Configurable CSP Headers","e61s02 - Admin UI — CSP policy builder",""
"","","Write tests for github.handleConnect (0%), github.mirrorRepository (0%)","","","passed","","","e21 - Testing and Quality Hardening","e21s04 - Coverage gates",""
"","","Create contract test for /api/sites GET and POST response shapes","","","passed","","","e21 - Testing and Quality Hardening","e21s02 - API contract tests",""
"","","Wire the streaming endpoint into the deployment lifecycle — start buffering logs at building state","","","passed","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s01 - Real-time log streaming — WebSocket endpoint for build logs",""
"","","POST /api/scaffold/db, repo, function endpoints","","","passed","","","e22 - Developer Experience","e22s02 - 1-click scaffolding API",""
"","","Configure branch protection: PR required, status checks, strict mode, admin exempt","","","skipped","","","e55 - DX — Automated PR Code Review via PR-Agent + DeepSeek","e55s04 - Enforce PR-only merges via GitHub branch protection on main",""
"","","Integration: callback with valid code but no/wrong state cookie returns 400 and sets NO token cookie (use existing googleVerifier stub pattern).
","","","passed","","","e29 - Security Vulnerability Fixes (2026-06 audit)","e29s01 - Fix OAuth state CSRF — validate state in Google callback",""
"","","Add preview deployment creation by branch","","","skipped","","","e64 - Deploy — Preview Environments","e64s01 - Branch-based preview deployments",""
"","","Add DrainTimeout config and defer stopPreviousDeployments","","","passed","","","e45 - Deploy — Zero-Downtime Drain","e45s01 - Graceful connection draining on deployment switchover",""
"","","Project CRUD API — POST/GET/PUT/DELETE /api/projects","","","skipped","","","e57 - Architecture — Project Scoping (DB + Auth + Sites container)","e57s01 - Projects table — backend CRUD + context resolution",""
"","","React 19 + Vite SPA served at /admin/","","","passed","","","e05 - Admin UI — Dashboard","e05s01 - SPA admin dashboard with collection browser",""
"","","Pin to pragent/pr-agent:0.36.0-github_action for stability","","","skipped","","","e55 - DX — Automated PR Code Review via PR-Agent + DeepSeek","e55s01 - Add PR-Agent GitHub Action workflow with DeepSeek",""
"","","Client SDK: @bigbase/auth v2 with Better Auth compatibility","","","skipped","","","e59 - Native Feature Port — SQL-over-HTTP, Better Auth, MCP Migration Tools","e59s03 - Better Auth backend engine — adapter for BigBase auth endpoints",""
"","","Fail closed: in auth.Middleware, if claims.OrgID == 0 return 403 {\""error\"":\""no organization\""} (after email-verify check). Existing tokens without org are forced to re-auth.
","","","passed","","","e29 - Security Vulnerability Fixes (2026-06 audit)","e29s02 - Wire org-ID into request context (activate dead multi-tenant isolation)",""
"","","Create contract test for /api/auth/register and /api/auth/login response shapes","","","passed","","","e21 - Testing and Quality Hardening","e21s02 - API contract tests",""
"","","Integrate manifest into deploy flow — check bigbase.yaml before falling back to auto-detection","","","passed","","","e40 - Deploy — App Manifest (bigbase.yaml)","e40s01 - Manifest parsing — detect bigbase.yaml in repo root, extract config",""
"","","Enhance StreamLog component with terminal toolbar and ANSI colors","","","passed","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s03 - Terminal-style live log viewer in admin UI",""
"","","GET /api/ping returns status and version","","","passed","","","e02 - Proxy + Landing Page","e02s01 - HTTP proxy with routing and landing page",""
"","","Log forwarding — buildHandler extracts NR txn from context for structured logs","","","skipped","","","e54 - New Relic Integration — Application and Server Monitoring","e54s02 - Instrument HTTP Proxy Request Tracing",""
"","","Storybook setup for token preview + theme switcher","","","skipped","","","e56 - UI Refactor — Console Redesign & Component Library (Evolved v2)","e56s01 - Design Tokens & Theme System",""
"","","Add CLI flags: --newrelic-license-key, --newrelic-app-name, --newrelic-enabled","","","skipped","","","e54 - New Relic Integration — Application and Server Monitoring","e54s01 - New Relic Go Agent Initialization",""
"","","Add per-site Content-Security-Policy header generation to the proxy","","","skipped","","","e61 - Proxy — Configurable CSP Headers","e61s01 - CSP header generation with per-site configuration",""
"","","Inject secrets into build and runtime environments","","","skipped","","","e60 - Deploy — Secrets Management","e60s01 - Encrypted secrets storage and API",""
"","","Add fuzz target for deploy.SiteSlug in tests/bench/fuzz_deploy_test.go","","","passed","","","e21 - Testing and Quality Hardening","e21s05 - Race detection and fuzz targets",""
"","","Add ?sort=field query param to GET /api/collections/:name — ASC/DESC via prefix","","","passed","","","e30 - Backend for Bots & Integrations","e30s03 - Collections API — filter and sort",""
"","","Integrate drain into runDeployment lifecycle","","","passed","","","e45 - Deploy — Zero-Downtime Drain","e45s01 - Graceful connection draining on deployment switchover",""
"","","Create TerminalLogViewer and replace BuildLogs in SiteDetailPage","","","passed","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s03 - Terminal-style live log viewer in admin UI",""
"","","Code/SQL editor component via Monaco","","","skipped","","","e56 - UI Refactor — Console Redesign & Component Library (Evolved v2)","e56s07 - Data Visualization & Editor Components — Charts, Code Editor, Terminal",""
"","","GitHub App OAuth flow for repo access","","","passed","","","e15 - Sites — Deploy from GitHub Journey","e15s01 - GitHub App auth, repo listing, one-click deploy",""
"","","Per-project JWT signing keys","","","skipped","","","e57 - Architecture — Project Scoping (DB + Auth + Sites container)","e57s03 - Auth namespacing — project-scoped users, JWT keys, and sessions",""
"","","bigbase migrate up|down|status with migrations/ directory","","","passed","","","e20 - Platform Operations","e20s02 - Migration tooling CLI",""
"","","DB component hooks — resolve database by project context","","","skipped","","","e57 - Architecture — Project Scoping (DB + Auth + Sites container)","e57s02 - Database isolation — per-project SQLite files and Postgres schemas",""
"","","Add 'Schema Designer' page to admin dashboard","","","skipped","","","e63 - Admin — Collection Schema Designer","e63s02 - Visual schema editor in admin UI",""
"","","Auto-deploy previews on git push to non-main branches","","","skipped","","","e64 - Deploy — Preview Environments","e64s01 - Branch-based preview deployments",""
"","","Project context middleware — inject project_id into request context","","","skipped","","","e57 - Architecture — Project Scoping (DB + Auth + Sites container)","e57s01 - Projects table — backend CRUD + context resolution",""
"","","Backend: POST /api/projects/:projectId/sql — execute parameterized SQL","","","skipped","","","e59 - Native Feature Port — SQL-over-HTTP, Better Auth, MCP Migration Tools","e59s01 - @bigbase/sql — HTTP SQL transport with tagged template literals",""
